Category & Name of the Shareholders,No. of shareholder,No. of fully paid up equity shares held,Total no. shares held,"Shareholding % calculated as per SCRR, 1957 As a % of (A+B+C2)",No. of Voting Rights,Total as a % of Total Voting right,No. of equity shares held in dematerialized form(Not Applicable),Script,ScriptCode,marketCap,No. of Shares Underlying Outstanding convertible securities (including Warrants),"Total shareholding , as a % assuming full conversion of convertible securities ( as a percentage of diluted share capital)",No.(a),As a % of total Shares held(b),Partly paid-up equity shares held,Total as a % of (A+B+C),Amount Invested (in Cr),Total Investment by Shareholder
HITESH JAGDISH KHANDWANI,1,1000000,1000000.0,1.3,1000000.0,1.3,1000000.0,RAJGASES,526873,364.92,,,,,,,4.74396,4.74396
KANHAIYALAL RAMCHAND THAWRANI,1,1000000,1000000.0,1.3,1000000.0,1.3,1000000.0,RAJGASES,526873,364.92,,,,,,,4.74396,4.74396
SAKSHI PRIYANK DIWANKA,1,1000000,1000000.0,1.3,1000000.0,1.3,1000000.0,RAJGASES,526873,364.92,,,,,,,4.74396,4.74396
PIYUSH RAJKUMAR DIWANKA,1,1000000,1000000.0,1.3,1000000.0,1.3,1000000.0,RAJGASES,526873,364.92,,,,,,,4.74396,4.74396
AMIT KUMAR AGRAWAL,1,1000000,1000000.0,1.3,1000000.0,1.3,1000000.0,RAJGASES,526873,364.92,,,,,,,4.74396,4.74396
POONAM RAJKUMAR DIWANKA,1,1000000,1000000.0,1.3,1000000.0,1.3,1000000.0,RAJGASES,526873,364.92,,,,,,,4.74396,4.74396
ANKIT AGRAWAL,1,1000000,1000000.0,1.3,1000000.0,1.3,1000000.0,RAJGASES,526873,364.92,,,,,,,4.74396,4.74396
GEETA HEMANG TANNA,1,1000000,1000000.0,1.3,1000000.0,1.3,1000000.0,RAJGASES,526873,364.92,,,,,,,4.74396,4.74396
PRIYANK RAJKUMAR DIWANKA,1,1000000,1000000.0,1.3,1000000.0,1.3,1000000.0,RAJGASES,526873,364.92,,,,,,,4.74396,4.74396
RAJKUMAR MADANLAL DIWANKA,1,1000000,1000000.0,1.3,1000000.0,1.3,1000000.0,RAJGASES,526873,364.92,,,,,,,4.74396,4.74396
Nidhi Pranay Dokania,1,659853,659853.0,1.63,659853.0,1.63,659853.0,MKEXIM,538890,290.52,,,,,,,4.735475999999999,4.735475999999999
SAPAN ANIL SHAH,1,1179828,1179828.0,4.51,1179828.0,4.51,1179828.0,GSS,532951,101.54,,4.51,,0.0,,,4.579454,4.730066
SAPAN ANIL SHAH,1,216000,216000.0,2.31,216000.0,2.31,216000.0,KAARYAFSL,540756,6.52,,,,,,,0.150612,4.730066
PANKAJ KHETAN,1,155672,155672.0,1.57,155672.0,1.57,155672.0,STARTECK,512381,300.98,,,,,,,4.725386000000001,4.725386000000001
VINAY RAJENDRAKUMAR NAGDA,1,400000,400000.0,1.89,400000.0,1.89,400000.0,JYOTHI,531537,249.03,,1.82,400000.0,100.0,,,4.706667,4.706667
CHINTAN CHETAN BHAYANI,1,405000,405000.0,1.16,405000.0,1.16,405000.0,REMSONSIND,530919,405.29,,,,0.0,,,4.701364,4.701364
NEHA ASHISH GANERIWAL,1,24700,24700.0,3.47,24700.0,3.47,24700.0,ZBINTXPP,523054,135.43,,,,,,,4.699421,4.699421
Trisha Aggarwal,1,200000,200000.0,1.18,200000.0,1.18,200000.0,AEIM,526443,398.02,,,200000.0,100.0,,,4.696636,4.696636
Vrinda Aggarwal,1,200000,200000.0,1.18,200000.0,1.18,200000.0,AEIM,526443,398.02,,,200000.0,100.0,,,4.696636,4.696636
Vipin Gupta,1,200000,200000.0,1.18,200000.0,1.18,200000.0,AEIM,526443,398.02,,,200000.0,100.0,,,4.696636,4.696636
Vinay Kumar Chawla,1,200000,200000.0,1.18,200000.0,1.18,200000.0,AEIM,526443,398.02,,,200000.0,100.0,,,4.696636,4.696636
Rishabh Kapoor,1,200000,200000.0,1.18,200000.0,1.18,200000.0,AEIM,526443,398.02,,,200000.0,100.0,,,4.696636,4.696636
Kuniamuthur Nanjappan Anand,1,200000,200000.0,1.18,200000.0,1.18,200000.0,AEIM,526443,398.02,,,200000.0,100.0,,,4.696636,4.696636
Bhavana Khemani,1,200000,200000.0,1.18,200000.0,1.18,200000.0,AEIM,526443,398.02,,,200000.0,100.0,,,4.696636,4.696636
Bharti Garg,1,200000,200000.0,1.18,200000.0,1.18,200000.0,AEIM,526443,398.02,,,200000.0,100.0,,,4.696636,4.696636
DEEPAK KUMAR JHA,1,924000,924000.0,4.54,924000.0,4.54,924000.0,DHARNI,543753,103.28,,,,0.0,,,4.688912,4.688912
RINKU VICKY VIPANI,1,162000,162000.0,1.2,162000.0,1.2,162000.0,DCI,543636,389.21,,0.99,,,,,4.67052,4.67052
ASHVINIKUMAR MOOLCHAND MEHTA,1,236668,236668.0,1.58,236668.0,1.58,236668.0,ARL,542721,295.05,,,,0.0,,,4.661790000000001,4.661790000000001
SAVITRIBEN MAHENDRAKUMAR SHAH,1,270829,270829.0,2.63,270829.0,2.63,270829.0,TTFL,540726,177.23,,1.7,,0.0,,,4.661149,4.661149
DARSHAN GUPTA,1,330790,330790.0,1.46,330790.0,1.46,330790.0,UDAYJEW,539518,319.1,,1.36,,0.0,,,4.658860000000001,4.658860000000001
SAMEERA CHANDRA,1,364822,364822.0,1.49,364822.0,1.49,364822.0,KINGSINFR,530215,312.57,,,,,,,4.657293,4.657293
Amit Ratanlal Sekhani,1,1090000,1090000.0,3.54,1090000.0,3.54,1090000.0,PIONEEREMB,514300,131.49,,,,0.0,,,4.654746,4.654746
RAJAN SHAH,1,145319,145319.0,1.23,145319.0,1.23,145319.0,PGFOILQ,526747,378.15,,,,0.0,,,4.651244999999999,4.651244999999999
ASHISH DIWAKAR RAOTE,1,154000,154000.0,1.08,154000.0,1.08,154000.0,SRGHFL,534680,429.66,,,,0.0,,,4.640328,4.640328
ANIL BABUBHAI MEHTA,1,119100,119100.0,2.86,119100.0,2.86,119100.0,MANAS,540402,162.24,,,,,,,4.640064000000001,4.640064000000001
NISARG AJAYKUMAR VAKHARIA,1,167607,167607.0,2.65,167607.0,2.65,167607.0,SAYAJIIND,540728,175.06,,,,,,,4.63909,4.63909
DEEPAK DATA,1,48300,48300.0,1.51,48300.0,1.51,,VIJSOLX,531069,306.76,,,,,,,4.632076,4.632076
KARAN SURESH MAJITHIA,1,160763,160763.0,1.19,160763.0,1.19,160763.0,DCI,543636,389.21,,0.98,,,,,4.631599,4.631599
RITESH AGAL,1,793753,793753.0,1.24,793753.0,1.24,793753.0,SRD,542232,373.31,,,,,,,4.629044,4.629044
Anand Ratanlal Sekhani,1,1085750,1085750.0,3.52,1085750.0,3.52,1085750.0,PIONEEREMB,514300,131.49,,,,0.0,,,4.628448000000001,4.628448000000001
Shardha Sukumaran,1,181585,181585.0,2.52,181585.0,2.37,181585.0,SIMPLEXCAS,513472,183.63,,,,0.0,,,4.627476,4.627476
PANKAJ MEHTA,1,434284,434284.0,1.29,434284.0,1.29,434284.0,EMERALD,538882,357.68,,,,0.0,,,4.614072,4.614072
MOHIT BHUTERIA,1,513638,513638.0,1.0,513638.0,1.0,513638.0,SINCLAIR,523023,461.29,,,,,,,4.612900000000001,4.612900000000001
Sandeep Kumar Sawarmal Hisaria,1,673168,673168.0,1.93,673168.0,1.93,673168.0,SHAQUAK,531925,5.55,,,,,,,0.1071149999999999,4.609752000000001
Sandeep Kumar Sawarmal Hisaria,1,116571,116571.0,1.53,116571.0,1.53,116571.0,VALIANT,526775,294.29,,,,,,,4.502637000000001,4.609752000000001
Kunal Kumar,1,138863,138863.0,2.82,138863.0,2.82,138863.0,VIRAT,530521,162.96,,,,,,,4.595472,4.595472
LATA UPADHYAY,1,1275000,1275000.0,3.7,1275000.0,3.7,1275000.0,KATIPATANG,531126,124.06,375000.0,3.99,1275000.0,100.0,,,4.59022,4.59022
MOHAN KRISHNA B,1,1000000,1000000.0,1.52,1000000.0,1.52,1000000.0,TIERRA,543531,301.8,,,,,,,4.58736,4.58736
RAJENDER KUMAR CHANDAK,1,1000000,1000000.0,1.52,1000000.0,1.52,1000000.0,TIERRA,543531,301.8,,,,,,,4.58736,4.58736
G D BAHETI AND SONS HUF,1,1000000,1000000.0,1.52,1000000.0,1.52,1000000.0,TIERRA,543531,301.8,,,,,,,4.58736,4.58736
SHUBHA ARVIND SHRISHRIMAL,1,1454608,1454608.0,1.45,1454608.0,1.45,1454608.0,RUDRA,539226,316.08,,,,,,,4.58316,4.58316
RAJAT GOENKA,1,751151,751151.0,4.02,751151.0,4.02,751151.0,MRO-TEK,532376,113.98,,,,,,,4.581995999999999,4.581995999999999
AMITOJ ARYA,1,1270050,1270050.0,3.69,1270050.0,3.69,1270050.0,KATIPATANG,531126,124.06,,3.07,1270050.0,100.0,,,4.577814,4.577814
NATRAJAN CHOUHAN,1,142500,142500.0,2.85,142500.0,2.85,142500.0,SAMRATFORG,543229,160.5,,,,,,,4.57425,4.57425
Sailesh Agarwal,1,200000,200000.0,4.92,200000.0,4.92,200000.0,DHRUVCA,531237,92.85,,,,,,,4.56822,4.56822
SURENDRA KUMAR JAIN,1,135559,135559.0,1.21,135559.0,1.21,135559.0,BCONCEPTS,543442,376.92,,,,,,,4.560732,4.560732
VIDIT JAIN,1,176806,176806.0,3.39,176806.0,3.39,176806.0,KGPETRO,531609,134.15,,,,,,,4.547685,4.547685
Pammi Singh,1,73260,73260.0,1.12,73260.0,1.12,73260.0,UCIL,541358,406.01,,0.88,73260.0,100.0,,,4.547312000000001,4.547312000000001
Nandita Kaushik Shah,1,1598000,1598000.0,1.08,1598000.0,1.08,1598000.0,RAMANEWS,500356,418.96,,,,,,,4.524768,4.524768
KIRAN RASHMIN RUGHANI,1,226000,226000.0,1.33,226000.0,1.33,226000.0,CANDOUR,522292,171.07,,,,0.0,,,2.275231,4.514696
KIRAN RASHMIN RUGHANI,1,111000,111000.0,1.26,111000.0,1.26,111000.0,HIMTEK,505712,145.39,,1.07,,0.0,,,1.831914,4.514696
KIRAN RASHMIN RUGHANI,1,55000,55000.0,1.09,55000.0,1.09,55000.0,GKB,533212,37.39,,,,,,,0.407551,4.514696
DESAI BIJAL DHARMESHBHAI,1,230000,230000.0,1.53,230000.0,1.53,230000.0,ARL,542721,295.05,,,,0.0,,,4.514265000000001,4.514265000000001
INDRA KANTA MOHTA,1,891000,891000.0,4.37,891000.0,4.37,891000.0,DHARNI,543753,103.28,,,,0.0,,,4.513336000000001,4.513336000000001
Raju Nanwani,1,653700,653700.0,2.89,653700.0,2.89,653700.0,MUKTAARTS,532357,156.15,,,,,,,4.512735,4.512735
DARSHANI HARSHKUMAR SHAH,1,1318550,1318550.0,2.93,1318550.0,2.94,1318550.0,SOFTRAKV,531529,153.72,,,,,,,4.503996000000001,4.503996000000001
DINESH DAYARAM DHANAK,1,397006,397006.0,1.22,397006.0,1.22,397006.0,DJML,543193,368.04,,,,0.0,,,4.490088,4.490088
BHAGCHAND BUMB,1,256497,256497.0,1.42,256497.0,1.42,256497.0,MANOMAY,540396,316.03,,,,,,,4.487626,4.487626
Poonam Balram Bharwani,1,105325,105325.0,3.7,105325.0,3.7,105325.0,KATRSPG,502933,51.43,,,,,,,1.9029100000000003,4.485833
Poonam Balram Bharwani,1,954437,954437.0,2.63,954437.0,2.67,954437.0,CHOWGULSTM,501833,98.21,,,,,,,2.582923,4.485833
BEDIYA DHARAMSHIBHAI MOHANBHAI,1,406097,406097.0,2.68,406097.0,2.68,406097.0,EKANSH,531364,166.55,,,,,,,4.46354,4.46354
KRISHNA PHUMBHRA,1,85000,85000.0,1.55,85000.0,1.55,85000.0,PATELSAI,517417,287.9,,,,,,,4.46245,4.46245
SHARAD KANAYLAL SHAH,1,45604,45604.0,1.01,45604.0,1.01,45604.0,VELJAN,505232,441.74,,,,,,,4.461574,4.461574
Ashwani Kumar,1,147090,147090.0,2.59,147090.0,2.59,147090.0,BRIGHTBR,526731,172.17,,,,,,,4.459203,4.459203
HASMUKHBHAI MOHANBHAI PATEL,1,7160875,7160875.0,1.6,7160875.0,1.6,7160875.0,EXXARO,543327,278.29,,,,,,,4.452640000000001,4.452640000000001
RANJANA AGRAWAL,1,573917,573917.0,1.3,573917.0,1.3,573917.0,OILCOUNTUB,500313,341.3,,0.99,,0.0,,,4.4369000000000005,4.4369000000000005
SAMADHAN RAGHUNATH PATIL,1,470150,470150.0,2.18,470150.0,2.18,470150.0,ZMILGFIN,511018,203.48,,,,0.0,,,4.435864,4.435864
Priti Suresh Shah,1,7000000,7000000.0,6.47,7000000.0,6.47,7000000.0,KBSINDIA,530357,68.5,,,,,,,4.43195,4.43195
SATYA PRAKASH MITTAL,1,271984,271984.0,2.68,271984.0,2.68,271984.0,POOJA,540727,30.48,,,,,,,0.816864,4.423743
SATYA PRAKASH MITTAL,1,1752350,1752350.0,1.79,1752350.0,1.79,1752350.0,SHANGAR,540259,48.96,,,,,,,0.8763839999999999,4.423743
SATYA PRAKASH MITTAL,1,50900,50900.0,1.21,50900.0,1.21,50900.0,SRECR,514248,16.8,,,,0.0,,,0.20328,4.423743
SATYA PRAKASH MITTAL,1,23000,23000.0,1.04,23000.0,1.04,23000.0,REXSEAL,543744,39.03,,0.89,,0.0,,,0.405912,4.423743
SATYA PRAKASH MITTAL,1,37456,37456.0,1.01,37456.0,1.01,37456.0,JAMESWARREN,538564,119.88,,,,,,,1.210788,4.423743
SATYA PRAKASH MITTAL,1,152000,152000.0,1.01,152000.0,1.01,152000.0,KFBL,507474,90.15,,,,,,,0.910515,4.423743
Vikas Jain,1,346940,346940.0,1.93,346940.0,1.93,346940.0,SHRIGANG,523309,229.06,,,,,,,4.420858,4.420858
ANAND SHANKARRAO UTTURE,1,298267,298267.0,3.82,298267.0,3.82,298267.0,HILIKS,539697,56.74,,2.76,,0.0,,,2.167468,4.418892
ANAND SHANKARRAO UTTURE,1,2534865,2534865.0,1.61,2534865.0,1.61,2534865.0,GTL,500160,139.84,,,,,,,2.251424,4.418892
BEDIYA VINIT DHARAMSHIBHAI,1,400941,400941.0,2.65,400941.0,2.65,400941.0,EKANSH,531364,166.55,,,,,,,4.413575,4.413575
Ravi Lalwani,1,702028,702028.0,4.43,702028.0,4.44,702028.0,SURJIND,526211,99.33,,,,0.0,,,4.400319,4.400319
VIJAY KALIDAS MAJREKAR,1,473096,473096.0,1.22,473096.0,1.22,473096.0,SUPREME,530677,360.34,,,,0.0,,,4.396147999999999,4.396147999999999
ANITHA,1,284475,284475.0,3.45,284475.0,3.45,284475.0,PRITHVIEXCH,531688,127.33,,,,,,,4.392885000000001,4.392885000000001
BEHRAM BURJOR MEHTA,1,1000000,1000000.0,13.87,1000000.0,13.87,1000000.0,EPIC,530407,31.66,,,,,,,4.391242,4.391242
KAMAL KUMAR GOYAL,1,101322,101322.0,1.89,101322.0,1.89,101322.0,MADHUDIN,515059,23.38,,,,,,,0.441882,4.390289
KAMAL KUMAR GOYAL,1,822951,822951.0,1.55,822951.0,1.55,822951.0,ATVPR,500028,177.57,,,,,,,2.752335,4.390289
KAMAL KUMAR GOYAL,1,133578,133578.0,1.32,133578.0,1.32,133578.0,POOJA,540727,30.48,,,,,,,0.402336,4.390289
KAMAL KUMAR GOYAL,1,43665,43665.0,1.31,43665.0,1.31,43665.0,HARISH,542682,23.67,,,,,,,0.310077,4.390289
KAMAL KUMAR GOYAL,1,88931,88931.0,1.04,88931.0,1.04,88931.0,RITESHIN,519097,23.4,,,,,,,0.2433599999999999,4.390289
KAMAL KUMAR GOYAL,1,77144,77144.0,1.03,77144.0,1.03,77144.0,CMMHOSP,523489,23.33,,,,,,,0.2402989999999999,4.390289
Udyan Ashok Singhania,1,4182841,4182841.0,1.74,4182841.0,1.74,4182841.0,BHANDARI,512608,122.91,,,,,,,2.138634,4.387112999999999
Udyan Ashok Singhania,1,527580,527580.0,1.71,527580.0,1.71,527580.0,PIONEEREMB,514300,131.49,,,,0.0,,,2.248479,4.387112999999999
Usha Chandrasingh Mehta,1,114000,114000.0,1.49,114000.0,1.49,114000.0,VALIANT,526775,294.29,,,,,,,4.384921,4.384921
MARGI JIGNESHBHAI SHAH,1,1090904,1090904.0,4.17,1090904.0,4.17,1090904.0,GSS,532951,101.54,,4.17,,0.0,,,4.234218,4.38483
MARGI JIGNESHBHAI SHAH,1,216000,216000.0,2.31,216000.0,2.31,216000.0,KAARYAFSL,540756,6.52,,,,,,,0.150612,4.38483
Poonam Rushabh Shah,1,492489,492489.0,1.07,492489.0,1.07,492489.0,NIKHILAD,526159,408.3,,,,,,,4.368810000000001,4.368810000000001
Rajendra Kumar Ranka,1,400000,400000.0,1.33,400000.0,1.33,400000.0,YOGI,511702,328.44,,0.89,,0.0,,,4.368252,4.368252
Sanju Kumari Rajendra Kumar Ranka,1,400000,400000.0,1.33,400000.0,1.33,400000.0,YOGI,511702,328.44,,0.89,,0.0,,,4.368252,4.368252
SHWETA ASHOK SINGH,1,3519859,3519859.0,17.18,3519859.0,17.18,3519859.0,MRCAGRO,540809,25.4,,,,0.0,,,4.36372,4.36372
NIRMALA THAKUR,1,360000,360000.0,5.76,360000.0,5.76,360000.0,PRABHHANS,530361,75.6,,,,0.0,,,4.354559999999999,4.354559999999999
CHANDRA PRAKASH GOYAL,1,575659,575659.0,1.49,575659.0,1.49,575659.0,UFO,539141,292.2,,,,,,,4.35378,4.35378
Shanthakumari T M,1,119449,119449.0,1.59,119449.0,1.59,119449.0,PANAENERG,504093,273.19,,,,,,,4.343721,4.343721
R. MANOJ KUMAR,1,281000,281000.0,3.41,281000.0,3.41,281000.0,PRITHVIEXCH,531688,127.33,,,,,,,4.341953,4.341953
RAJESH GOENKA,1,440000,440000.0,1.87,440000.0,1.87,440000.0,INTENTECH,532326,232.12,,,,0.0,,,4.340644,4.340644
Harshawardhan Hanmant Sabale,1,3531123,3531123.0,15.99,3531123.0,15.99,3531123.0,HEADSUP,540210,27.12,,,,,,,4.336488,4.336488
SUNIT DHANSUKHLAL PARIKH,1,327964,327964.0,1.25,327964.0,1.25,327964.0,INDAG,509162,346.76,,,,,,,4.3345,4.3345
BAHUBALIBHAI SHANTILAL SHAH,1,115615,115615.0,2.49,115615.0,2.49,115615.0,JK AGRI,536493,174.03,,,,,,,4.333347000000001,4.333347000000001
Rajiv Singh,1,380000,380000.0,2.76,380000.0,2.76,380000.0,UVDRHOR,522091,156.86,,2.76,,0.0,,,4.3293360000000005,4.3293360000000005
DEEPAK HOTILAL THAKUR,1,1169246,1169246.0,2.5,1169246.0,2.5,1169246.0,INCREDIBLE,538365,172.28,,,,,,,4.307,4.307
NITN KAPOOR,1,833333,833333.0,2.85,833333.0,2.85,833333.0,EDVENSWA,517170,150.78,,,,0.0,,,4.29723,4.29723
ARVIND BABURAO JOSHI,1,439750,439750.0,5.95,439750.0,5.95,439750.0,RISHITECH,523021,37.1,,,,,,,2.20745,4.293781
ARVIND BABURAO JOSHI,1,153654,153654.0,1.67,153654.0,1.67,153654.0,RISHILASE,526861,124.93,,,,0.0,,,2.086331,4.293781
Ashish Bharatkumar Shah,1,278061,278061.0,2.78,278061.0,2.78,278061.0,PALASHSECU,540648,127.69,,2.78,,,,,3.5497819999999995,4.287506
Ashish Bharatkumar Shah,1,49000,49000.0,1.56,49000.0,1.56,49000.0,PARSHWANA,511176,47.29,,,,,,,0.737724,4.287506
GURDEEP SINGH BASI,1,133615,133615.0,2.67,133615.0,2.67,,SAMRATFORG,543229,160.5,,,,,,,4.285349999999999,4.285349999999999
NISHA AGARWAL,1,415000,415000.0,2.82,415000.0,2.82,415000.0,SONAL,538943,151.88,,,,,,,4.283016,4.283016
Manju Gaggar,1,48682,48682.0,1.23,48682.0,1.23,48682.0,STANROS,506105,25.59,,,,,,,0.314757,4.279798
Manju Gaggar,1,48650,48650.0,1.06,48650.0,1.06,48650.0,AEONXDIGI,524594,68.96,,,,,,,0.730976,4.279798
Manju Gaggar,1,102661,102661.0,1.03,102661.0,1.03,102661.0,GANGESSECU,540647,144.35,,,,,,,1.486805,4.279798
Manju Gaggar,1,300063,300063.0,1.02,300063.0,1.02,300063.0,TGBHOTELS,532845,31.86,,,,,,,0.324972,4.279798
Manju Gaggar,1,45975,45975.0,1.02,45975.0,1.35,45975.0,RAJTUBE,530253,96.94,,,,,,,0.988788,4.279798
Manju Gaggar,1,46532,46532.0,1.02,46532.0,1.02,46532.0,MARGOFIN,500206,42.5,,,,,,,0.4335,4.279798
SEEMHARSINGH GOLDIE ANAND,1,55000,55000.0,1.04,55000.0,1.04,55000.0,DENORA,590031,410.38,,,,,,,4.267952,4.267952
AMAN JAIN,1,244295,244295.0,1.35,244295.0,1.35,244295.0,MANOMAY,540396,316.03,,,,,,,4.266405,4.266405
MEENADEVI SURENDRAKUMAR AGARWAL,1,51577,51577.0,1.41,51577.0,1.41,51577.0,WELINV,533252,302.06,,,,,,,4.259046,4.259046
Laxmi Taware,1,2937500,2937500.0,6.01,2937500.0,6.01,2937500.0,PARLEIND,532911,70.82,,,2937500.0,100.0,,,4.256282,4.256282
NAGARAJU KALIMISHETTY,1,16966334,16966334.0,2.38,16966334.0,2.38,16966334.0,PMCFIN,534060,178.73,,,,,,,4.253773999999999,4.253773999999999
SHAILESH KUMAR,1,589692,589692.0,5.75,589692.0,5.75,589692.0,SUNLOC,537253,73.96,,,,,,,4.2527,4.2527
Ujjal Kumar Upadhaya,1,5000000,5000000.0,4.36,5000000.0,4.36,5000000.0,CNIRESLTD,512018,97.47,,,,,,,4.249692,4.249692
Sangeeta Upadhaya,1,5000000,5000000.0,4.36,5000000.0,4.36,5000000.0,CNIRESLTD,512018,97.47,,,,,,,4.249692,4.249692
Alka Chaturvedi,1,5000000,5000000.0,4.36,5000000.0,4.36,5000000.0,CNIRESLTD,512018,97.47,,,,,,,4.249692,4.249692
Paresh Bafna,1,325000,325000.0,2.47,325000.0,2.47,325000.0,CAPRIHANS,509486,171.92,,2.47,,0.0,,,4.246424,4.246424
JASHODA DEVI,1,300000,300000.0,1.33,300000.0,1.33,300000.0,UDAYJEW,539518,319.1,,1.24,,0.0,,,4.24403,4.24403
SHARAN CHHAJER,1,71207,71207.0,1.16,71207.0,1.16,71207.0,MACPLASQ,523248,138.97,,,,,,,1.6120519999999998,4.23814
SHARAN CHHAJER,1,161239,161239.0,1.03,161239.0,1.03,161239.0,STARPAPER,516022,254.96,,,,,,,2.626088,4.23814
VINOD DUGAR,1,515000,515000.0,2.93,515000.0,2.93,515000.0,VJTFEDU,509026,144.5,,,,,,,4.23385,4.23385
ASHWINI AGARWAL,1,711059,711059.0,1.89,711059.0,1.89,711059.0,ROSSELLIND,533168,223.8,,,,,,,4.22982,4.22982
NITIN KRISHNALAL MINOCHA,1,4000000,4000000.0,29.63,4000000.0,29.63,4000000.0,NBFOOT,523242,14.24,,,,,,,4.219312,4.219312
RHONAK SANJAY MUNOT,1,423538,423538.0,1.53,423538.0,1.53,423538.0,ANIKINDS,519383,275.56,,,,,,,4.216068,4.216068
Chetan Gopaldas Cholera,1,112166,112166.0,1.02,112166.0,1.02,112166.0,TRF,505854,412.8,,,,,,,4.21056,4.21056
Sheetal Mehta,1,109000,109000.0,1.43,109000.0,1.43,109000.0,VALIANT,526775,294.29,,,,,,,4.208347000000001,4.208347000000001
RADHAKRISHNAN NARANAPATTY,1,283460,283460.0,1.62,283460.0,1.62,283460.0,DIKSAT,540151,259.63,,,,,,,4.206006,4.206006
MAYUR MAHENDRA CHHEDA,1,146000,146000.0,1.08,146000.0,1.08,146000.0,DCI,543636,389.21,,0.89,,,,,4.203468,4.203468
VASANTI MAHENDRA CHHEDA,1,146000,146000.0,1.08,146000.0,1.08,146000.0,DCI,543636,389.21,,0.89,,,,,4.203468,4.203468
Ankit J Jain,1,257550,257550.0,1.32,257550.0,1.32,257550.0,MANCREDIT,505850,317.62,,1.22,,0.0,,,4.192584,4.192584
MANJUNATH S,1,155555,155555.0,1.05,155555.0,1.05,155555.0,IZMO,532341,399.26,,,,0.0,,,4.19223,4.19223
Ajoy Kirtilal Mehta,1,1500000,1500000.0,4.1,1500000.0,4.1,1500000.0,ROYALCU,526193,102.23,,,,0.0,,,4.19143,4.19143
RUSHABH SEVANTILAL SANGHAVI,1,5000000,5000000.0,3.26,5000000.0,3.26,5000000.0,RRETAIL,530525,128.47,,3.26,,0.0,,,4.188122,4.188122
MEET N MEHTA,1,5000000,5000000.0,3.26,5000000.0,3.26,5000000.0,RRETAIL,530525,128.47,,3.26,,0.0,,,4.188122,4.188122
RAJ NARENDRA MEHTA,1,5000000,5000000.0,3.26,5000000.0,3.26,5000000.0,RRETAIL,530525,128.47,,3.26,,0.0,,,4.188122,4.188122
NARSHIBHAI DEVJIBHAI BHAVANI,1,294600,294600.0,1.29,294600.0,1.29,294600.0,BARODARY,500270,324.42,,,,,,,4.185018,4.185018
MEENA BINDRA,1,725000,725000.0,1.18,725000.0,1.18,725000.0,SINGER,505729,354.64,,,,0.0,,,4.184752,4.184752
Anilkumar,1,3330000,3330000.0,3.51,3330000.0,3.51,3330000.0,TAHMARENT,516032,118.96,,2.03,3330000.0,100.0,,,4.175496,4.175496
MANOJ GOPICHAND AGRAWAL,1,190000,190000.0,4.75,190000.0,4.75,190000.0,PALCO,539121,87.9,,,,,,,4.17525,4.17525
SACHIN DINESH GOYAL,1,190000,190000.0,4.75,190000.0,4.75,,PALCO,539121,87.9,,,,,,,4.17525,4.17525
NUPUR SONAL AGARWAL,1,190000,190000.0,4.75,190000.0,4.75,190000.0,PALCO,539121,87.9,,,,,,,4.17525,4.17525
Pradeep Kumar Sonthalia,1,93985,93985.0,1.11,93985.0,1.11,93985.0,AARTISURF,543210,375.98,,,,,,,4.1733780000000005,4.1733780000000005
Chitra P Mahatme,1,1537885,1537885.0,4.24,1537885.0,4.3,1537885.0,CHOWGULSTM,501833,98.21,,,,,,,4.164104,4.164104
VEDANT RAKESH PANCHAL,1,12093750,12093750.0,5.38,12093750.0,5.38,12093750.0,SELLWIN,538875,77.14,,,12093750.0,100.0,,,4.150132,4.150132
HETAL SHASHIKANT MESARIYA,1,12093750,12093750.0,5.38,12093750.0,5.38,12093750.0,SELLWIN,538875,77.14,,,12093750.0,100.0,,,4.150132,4.150132
ANKITKUMAR VIHOL,1,12093750,12093750.0,5.38,12093750.0,5.38,12093750.0,SELLWIN,538875,77.14,,,12093750.0,100.0,,,4.150132,4.150132
Anurag Choudhary,1,5014995,5014995.0,2.36,5014995.0,2.36,5014995.0,SHYAMCENT,539252,175.74,,,,,,,4.147464,4.147464
Virendra Gokuldas Kirad,1,317169,317169.0,2.41,317169.0,2.41,317169.0,CAPRIHANS,509486,171.92,,2.41,,0.0,,,4.143272,4.143272
SOHAM ASHOKKUMAR SHAH,1,400000,400000.0,2.32,400000.0,2.32,400000.0,REGIS,543208,178.27,,,,,,,4.135864,4.135864
MEENA ASHOK SHAH,1,400000,400000.0,2.32,400000.0,2.32,400000.0,REGIS,543208,178.27,,,,,,,4.135864,4.135864
RAMAKRISHNA REDDY CHINTA,1,11800000,11800000.0,2.43,11800000.0,2.43,11800000.0,RHFL,540709,169.6,,,,,,,4.1212800000000005,4.1212800000000005
ASHOK DILIPKUMAR JAIN,1,1104000,1104000.0,3.62,1104000.0,3.62,1104000.0,TITANIN,521005,43.16,,3.46,1104000.0,100.0,,,1.562392,4.114872
ASHOK DILIPKUMAR JAIN,1,111300,111300.0,3.44,111300.0,3.44,111300.0,LELAVOIR,539814,74.2,,,,,,,2.55248,4.114872
PRATEEK JAIN,1,110000,110000.0,1.02,110000.0,1.02,110000.0,DHABRIYA,538715,403.04,,,,,,,4.111008000000001,4.111008000000001
GUDAPATI RAMESH,1,450000,450000.0,8.77,450000.0,8.77,450000.0,INCAP,517370,46.76,,,,,,,4.100852,4.100852
